categoria,subtipo_amostrado,tabelas_amostradas,ocorrencias_colunas,rotulos_locais,mapas_codigos_locais,pdfs_obtidos,nomes_mencionados_em_pdf,validacao_semantica_individual,checagem_auditoria,source_ids
DATASUS,TABWIN,0,0,0,0,0,0,não aplicável à amostra,2026-09-10,
IBGE,POPT,28,84,0,0,1,28,não auditada,2026-09-10,ibge-ae71f4736dce
Base Territorial,TER,22,111,0,0,1,106,não auditada,2026-09-10,base-territorial-98a2c740720b
CIH,CR,1,27,0,0,0,0,não auditada,2026-09-10,
CIHA,CIHA,1,30,0,0,1,29,não auditada,2026-09-10,ciha-c326559e8d8d
CNES,ST,1,208,9,2,1,199,não auditada,2026-09-10,cnes-71af7438a8cd
ESUSNOTIFICA,DCCR,1,109,0,0,1,88,não auditada,2026-09-10,esusnotifica-5b081513ff3d
PCE,PCE,1,35,0,0,1,35,não auditada,2026-09-10,pce-9f83353e4e10
PO,PO,1,23,0,0,1,23,não auditada,2026-09-10,po-5503556badd2
RESP,RESP,1,78,0,0,1,78,não auditada,2026-09-10,resp-c6e3fda1713d
SIASUS,PA,1,60,0,0,1,59,não auditada,2026-09-10,siasus-70fe69dbd4cf
SIHSUS,RD,1,113,95,21,2,110,não auditada,2026-09-10,sihsus-1e89d5f2cc41|sih-tab-714ed980d483
SIM,DO,1,87,87,38,3,81,não auditada,2026-09-10,sim-b4195ac8e0f8|sim-dom-fb396a277981|sim-anterior-13cabba0b9a1
SINAN,CHAG,1,108,0,0,2,107,não auditada,2026-09-10,sinan-16c598f86fbf|sinan-b3e0561c7a2d
SINASC,DN,1,61,61,26,1,22,não auditada,2026-09-10,sinasc-24e0d4388ea1
SISCOLO,CC,1,102,0,0,0,0,não auditada,2026-09-10,
SISMAMA,CM,1,54,0,0,0,0,não auditada,2026-09-10,
SISPRENATAL,PN,1,36,0,0,0,0,não auditada,2026-09-10,
