categoria,tabela,coluna,yaml_local,rotulo_local,descricao_local,codigos_locais_json,formato_local,referencias_locais_json,mencao_textual_em_pdf,validacao_semantica
Base Territorial,t000_tb_terrcid,CO_TERRCID,,,,,,,ftp://ftp.datasus.gov.br/territorio/doc/bases_territoriais.pdf,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
Base Territorial,t000_tb_terrcid,DS_NOME,,,,,,,ftp://ftp.datasus.gov.br/territorio/doc/bases_territoriais.pdf,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
Base Territorial,t000_tb_terrcid,DS_NOMEPAD,,,,,,,ftp://ftp.datasus.gov.br/territorio/doc/bases_territoriais.pdf,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
Base Territorial,t000_tb_terrcid,CO_STATUS,,,,,,,ftp://ftp.datasus.gov.br/territorio/doc/bases_territoriais.pdf,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
Base Territorial,t000_tb_terrcid,NU_ORDMAP,,,,,,,ftp://ftp.datasus.gov.br/territorio/doc/bases_territoriais.pdf,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
Base Territorial,t001_tb_regsaud,CO_REGSAUD,,,,,,,ftp://ftp.datasus.gov.br/territorio/doc/bases_territoriais.pdf,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
Base Territorial,t001_tb_regsaud,CO_STATUS,,,,,,,ftp://ftp.datasus.gov.br/territorio/doc/bases_territoriais.pdf,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
Base Territorial,t001_tb_regsaud,DS_NOME,,,,,,,ftp://ftp.datasus.gov.br/territorio/doc/bases_territoriais.pdf,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
Base Territorial,t001_tb_regsaud,DS_NOMEPAD,,,,,,,ftp://ftp.datasus.gov.br/territorio/doc/bases_territoriais.pdf,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
Base Territorial,t001_tb_regsaud,DS_ABREV,,,,,,,ftp://ftp.datasus.gov.br/territorio/doc/bases_territoriais.pdf,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
Base Territorial,t001_tb_regsaud,NU_ORDEM,,,,,,,ftp://ftp.datasus.gov.br/territorio/doc/bases_territoriais.pdf,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
Base Territorial,t002_tb_regmetr,CO_REGMETR,,,,,,,ftp://ftp.datasus.gov.br/territorio/doc/bases_territoriais.pdf,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
Base Territorial,t002_tb_regmetr,CO_STATUS,,,,,,,ftp://ftp.datasus.gov.br/territorio/doc/bases_territoriais.pdf,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
Base Territorial,t002_tb_regmetr,CO_TIPO,,,,,,,ftp://ftp.datasus.gov.br/territorio/doc/bases_territoriais.pdf,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
