categoria,tabela,membro,nome,tipo_origem,largura,decimais,tipo_amostra,nulos_amostra,distintos_amostra
IBGE,t000_POPTRN23,POPTRN23.dbf,MUNIC_RES,C,7,0,String,0,167
IBGE,t000_POPTRN23,POPTRN23.dbf,ANO,C,4,0,String,0,1
IBGE,t000_POPTRN23,POPTRN23.dbf,POPULACAO,N,8,0,String,0,166
IBGE,t001_POPTRO23,POPTRO23.dbf,MUNIC_RES,C,7,0,String,0,52
IBGE,t001_POPTRO23,POPTRO23.dbf,ANO,C,4,0,String,0,1
IBGE,t001_POPTRO23,POPTRO23.dbf,POPULACAO,N,8,0,String,0,52
IBGE,t002_POPTRR23,POPTRR23.dbf,MUNIC_RES,C,7,0,String,0,15
IBGE,t002_POPTRR23,POPTRR23.dbf,ANO,C,4,0,String,0,1
IBGE,t002_POPTRR23,POPTRR23.dbf,POPULACAO,N,8,0,String,0,15
IBGE,t003_POPTRS23,POPTRS23.dbf,MUNIC_RES,C,7,0,String,0,200
IBGE,t003_POPTRS23,POPTRS23.dbf,ANO,C,4,0,String,0,1
IBGE,t003_POPTRS23,POPTRS23.dbf,POPULACAO,N,8,0,String,0,200
IBGE,t004_POPTSC23,POPTSC23.dbf,MUNIC_RES,C,7,0,String,0,200
IBGE,t004_POPTSC23,POPTSC23.dbf,ANO,C,4,0,String,0,1
IBGE,t004_POPTSC23,POPTSC23.dbf,POPULACAO,N,8,0,String,0,199
IBGE,t005_POPTSE23,POPTSE23.dbf,MUNIC_RES,C,7,0,String,0,75
IBGE,t005_POPTSE23,POPTSE23.dbf,ANO,C,4,0,String,0,1
IBGE,t005_POPTSE23,POPTSE23.dbf,POPULACAO,N,8,0,String,0,75
IBGE,t006_POPTSP23,POPTSP23.dbf,MUNIC_RES,C,7,0,String,0,200
IBGE,t006_POPTSP23,POPTSP23.dbf,ANO,C,4,0,String,0,1
IBGE,t006_POPTSP23,POPTSP23.dbf,POPULACAO,N,8,0,String,0,200
IBGE,t007_POPTTO23,POPTTO23.dbf,MUNIC_RES,C,7,0,String,0,139
IBGE,t007_POPTTO23,POPTTO23.dbf,ANO,C,4,0,String,0,1
IBGE,t007_POPTTO23,POPTTO23.dbf,POPULACAO,N,8,0,String,0,139
IBGE,t008_POPTAC23,POPTAC23.dbf,MUNIC_RES,C,7,0,String,0,22
IBGE,t008_POPTAC23,POPTAC23.dbf,ANO,C,4,0,String,0,1
IBGE,t008_POPTAC23,POPTAC23.dbf,POPULACAO,N,8,0,String,0,22
IBGE,t009_POPTAL23,POPTAL23.dbf,MUNIC_RES,C,7,0,String,0,102
IBGE,t009_POPTAL23,POPTAL23.dbf,ANO,C,4,0,String,0,1
IBGE,t009_POPTAL23,POPTAL23.dbf,POPULACAO,N,8,0,String,0,102
IBGE,t010_POPTAM23,POPTAM23.dbf,MUNIC_RES,C,7,0,String,0,62
IBGE,t010_POPTAM23,POPTAM23.dbf,ANO,C,4,0,String,0,1
IBGE,t010_POPTAM23,POPTAM23.dbf,POPULACAO,N,8,0,String,0,62
IBGE,t011_POPTAP23,POPTAP23.dbf,MUNIC_RES,C,7,0,String,0,16
IBGE,t011_POPTAP23,POPTAP23.dbf,ANO,C,4,0,String,0,1
IBGE,t011_POPTAP23,POPTAP23.dbf,POPULACAO,N,8,0,String,0,16
IBGE,t012_POPTBA23,POPTBA23.dbf,MUNIC_RES,C,7,0,String,0,200
IBGE,t012_POPTBA23,POPTBA23.dbf,ANO,C,4,0,String,0,1
IBGE,t012_POPTBA23,POPTBA23.dbf,POPULACAO,N,8,0,String,0,199
IBGE,t013_POPTBR23,POPTBR23.dbf,MUNIC_RES,C,7,0,String,0,200
IBGE,t013_POPTBR23,POPTBR23.dbf,ANO,C,4,0,String,0,1
IBGE,t013_POPTBR23,POPTBR23.dbf,POPULACAO,N,8,0,String,0,199
IBGE,t014_POPTCE23,POPTCE23.dbf,MUNIC_RES,C,7,0,String,0,184
IBGE,t014_POPTCE23,POPTCE23.dbf,ANO,C,4,0,String,0,1
IBGE,t014_POPTCE23,POPTCE23.dbf,POPULACAO,N,8,0,String,0,184
IBGE,t015_POPTDF23,POPTDF23.dbf,MUNIC_RES,C,7,0,String,0,1
