categoria,descricao,natureza,subtipo_amostrado,status,arquivo,bytes,url,sha256,tabelas,colunas,linhas_amostradas,arquivos_diretorio,diretorio_listado,erro
DATASUS,Aplicativos TABWIN/TABNET,aplicativo,TABWIN,artefato,TAB415.zip,15670769,ftp://ftp.datasus.gov.br/tabwin/tabwin/TAB415.zip,a7371b19292f368212575d9bb59e261c95b3135c46a1294bc370f04ba21192e6,0,0,0,5,/tabwin/tabwin,
IBGE,Base Populacional,população,POPT,amostra,POPTBR23.zip,77027,ftp://ftp.datasus.gov.br/dissemin/publicos/IBGE/POPTCU/POPTBR23.zip,cd19b3aea860af8e4397cbb33d9b444b7ae40ee52d4a2bf7506779fba627b8f7,28,84,3754,33,/dissemin/publicos/IBGE/POPTCU,
Base Territorial,Mapas e conversões para tabulação,território,TER,amostra,04-base_territorial_abr26.zip,1730744,ftp://ftp.datasus.gov.br/territorio/tabelas/2026/04-base_territorial_abr26.zip,91274730129b8dff5e0afe485b01698da74ab5cee080cf3c3b123b31664a5489,22,111,3394,3,/territorio/tabelas/2026,
CIH,Comunicação de Informação Hospitalar,registros,CR,amostra,CRCE1103.dbc,10001,ftp://ftp.datasus.gov.br/dissemin/publicos/CIH/200801_201012/Dados/CRCE1103.dbc,e2cf9fc1fc664f01b81e1e8930c9691e5b5df403af2c0d050d4110270f4dd068,1,27,200,869,/dissemin/publicos/CIH/200801_201012/Dados,
CIHA,Comunicação Hospitalar e Ambulatorial,registros,CIHA,amostra,CIHADF2211.dbc,10006,ftp://ftp.datasus.gov.br/dissemin/publicos/CIHA/201101_/Dados/CIHADF2211.dbc,599e2aaf1cf1e3c42adee9945a76ab6cd563681d3cc061ac6d8db61b873b2e8d,1,30,200,4798,/dissemin/publicos/CIHA/201101_/Dados,
CNES,Cadastro Nacional de Estabelecimentos de Saúde,cadastro,ST,amostra,STRR2301.dbc,40745,ftp://ftp.datasus.gov.br/dissemin/publicos/CNES/200508_/Dados/ST/STRR2301.dbc,21317fb046d6790d4143b39e1b300caff5b151d7cde368b62175871f8091d03a,1,208,200,6804,/dissemin/publicos/CNES/200508_/Dados/ST,
ESUSNOTIFICA,e-SUS Notifica: Doença de Chagas Crônica,notificações,DCCR,amostra,DCCRBR23.dbc,705678,ftp://ftp.datasus.gov.br/dissemin/publicos/ESUSNOTIFICA/DADOS/FINAIS/DCCRBR23.dbc,5008178b914b4087006d30a0da4149b070616354e6ee8b292cfb4e2e3cd1161f,1,109,200,1,/dissemin/publicos/ESUSNOTIFICA/DADOS/FINAIS,
PCE,Controle da Esquistossomose,registros,PCE,amostra,PCEAL23.dbc,9622,ftp://ftp.datasus.gov.br/dissemin/publicos/PCE/DADOS/PCEAL23.dbc,3ed318070267601164f13435c705b681601795071f1bcb5a5074851d3f56707c,1,35,200,460,/dissemin/publicos/PCE/DADOS,
PO,Painel de Oncologia,registros,PO,amostra,POBR2023.dbc,23767771,ftp://ftp.datasus.gov.br/dissemin/publicos/PAINEL_ONCOLOGIA/DADOS/POBR2023.dbc,8cfce74e3ca265076e5983aac4caae73375e05bfd992c44675dbf43b4fe4d0da,1,23,200,14,/dissemin/publicos/PAINEL_ONCOLOGIA/DADOS,
RESP,Notificações de casos suspeitos de SCZ,notificações,RESP,amostra,RESPRR23.dbc,2879,ftp://ftp.datasus.gov.br/dissemin/publicos/RESP/DADOS/RESPRR23.dbc,92c37aa544e88b705262ffd1e318927b6b3ce00fe9bc523522e3163ea0ced9f6,1,78,3,281,/dissemin/publicos/RESP/DADOS,
SIASUS,Informações Ambulatoriais do SUS,produção,PA,amostra,PARR2301.dbc,1156052,ftp://ftp.datasus.gov.br/dissemin/publicos/SIASUS/200801_/Dados/PARR2301.dbc,9c25984b133e750dcf23f39363154c04738161bb56f4bc9b79143642af549d3b,1,60,200,54199,/dissemin/publicos/SIASUS/200801_/Dados,
SIHSUS,Informações Hospitalares do SUS,produção,RD,amostra,RDRR2301.dbc,349244,ftp://ftp.datasus.gov.br/dissemin/publicos/SIHSUS/200801_/Dados/RDRR2301.dbc,e9f717ff378477a883d19f733efe8409aee7f7795a027584b9f383364264d8e4,1,113,200,22915,/dissemin/publicos/SIHSUS/200801_/Dados,
SIM,Informações de Mortalidade,registros,DO,amostra,DORR2023.dbc,288798,ftp://ftp.datasus.gov.br/dissemin/publicos/SIM/CID10/DORES/DORR2023.dbc,15b5203507161b7c35f9c69a52c955bdac133629549099b85a88e03a9a45baf0,1,87,200,812,/dissemin/publicos/SIM/CID10/DORES,
SINAN,Agravos de Notificação,notificações,CHAG,amostra,CHAGBR23.dbc,411945,ftp://ftp.datasus.gov.br/dissemin/publicos/SINAN/DADOS/PRELIM/CHAGBR23.dbc,a0ab9f568b52c565819466eba2cf312e40549cec707f28e5001de1532f79a10f,1,108,200,357,/dissemin/publicos/SINAN/DADOS/PRELIM,
SINASC,Nascidos Vivos,registros,DN,amostra,DNRR2023.dbc,627526,ftp://ftp.datasus.gov.br/dissemin/publicos/SINASC/1996_/Dados/DNRES/DNRR2023.dbc,3b9c5cb07b3981e735bea9bc9c7967906af13047b202cc85550b92c885e82a3c,1,61,200,823,/dissemin/publicos/SINASC/1996_/Dados/DNRES,
SISCOLO,Câncer do Colo de Útero,exames,CC,amostra,CCRR1301.dbc,53230,ftp://ftp.datasus.gov.br/dissemin/publicos/SISCAN/SISCOLO4/Dados/CCRR1301.dbc,b77df19ea9b261d473c1adb4b3a0f9e44fd8f156444f09e10e50dabdbf15a815,1,102,200,5716,/dissemin/publicos/SISCAN/SISCOLO4/Dados,
SISMAMA,Câncer de Mama,exames,CM,amostra,CMSP1409.dbc,10292,ftp://ftp.datasus.gov.br/dissemin/publicos/SISCAN/SISMAMA/Dados/CMSP1409.dbc,81fe1e7bd5494e7590cbc88a6489137a3615285872a1595442c95666ba426f51,1,54,200,5023,/dissemin/publicos/SISCAN/SISMAMA/Dados,
SISPRENATAL,Monitoramento do Pré-Natal,registros,PN,amostra,PNRR1301.dbc,2551,ftp://ftp.datasus.gov.br/dissemin/publicos/SISPRENATAL/201201_/Dados/PNRR1301.dbc,221be92d16ca8a4902f27ff2a954d4dd32261e3b0b786c1172347b44923a6465,1,36,33,944,/dissemin/publicos/SISPRENATAL/201201_/Dados,
