categoria,formato,registros_declarados,registros_ativos,registros_excluidos,terminador_reparado,tabela,membro,amostra_parquet,linhas_amostra,n_colunas
IBGE,DBF,167,167,0,false,t000_POPTRN23,POPTRN23.dbf,/Users/raphael/PycharmProjects/omnisus-db/data/lake/panorama-datasus/20260910T162322/IBGE/POPTBR23.zip_amostras/t000_POPTRN23.parquet,167,3
IBGE,DBF,52,52,0,false,t001_POPTRO23,POPTRO23.dbf,/Users/raphael/PycharmProjects/omnisus-db/data/lake/panorama-datasus/20260910T162322/IBGE/POPTBR23.zip_amostras/t001_POPTRO23.parquet,52,3
IBGE,DBF,15,15,0,false,t002_POPTRR23,POPTRR23.dbf,/Users/raphael/PycharmProjects/omnisus-db/data/lake/panorama-datasus/20260910T162322/IBGE/POPTBR23.zip_amostras/t002_POPTRR23.parquet,15,3
IBGE,DBF,497,497,0,false,t003_POPTRS23,POPTRS23.dbf,/Users/raphael/PycharmProjects/omnisus-db/data/lake/panorama-datasus/20260910T162322/IBGE/POPTBR23.zip_amostras/t003_POPTRS23.parquet,200,3
IBGE,DBF,295,295,0,false,t004_POPTSC23,POPTSC23.dbf,/Users/raphael/PycharmProjects/omnisus-db/data/lake/panorama-datasus/20260910T162322/IBGE/POPTBR23.zip_amostras/t004_POPTSC23.parquet,200,3
IBGE,DBF,75,75,0,false,t005_POPTSE23,POPTSE23.dbf,/Users/raphael/PycharmProjects/omnisus-db/data/lake/panorama-datasus/20260910T162322/IBGE/POPTBR23.zip_amostras/t005_POPTSE23.parquet,75,3
IBGE,DBF,645,645,0,false,t006_POPTSP23,POPTSP23.dbf,/Users/raphael/PycharmProjects/omnisus-db/data/lake/panorama-datasus/20260910T162322/IBGE/POPTBR23.zip_amostras/t006_POPTSP23.parquet,200,3
IBGE,DBF,139,139,0,false,t007_POPTTO23,POPTTO23.dbf,/Users/raphael/PycharmProjects/omnisus-db/data/lake/panorama-datasus/20260910T162322/IBGE/POPTBR23.zip_amostras/t007_POPTTO23.parquet,139,3
IBGE,DBF,22,22,0,false,t008_POPTAC23,POPTAC23.dbf,/Users/raphael/PycharmProjects/omnisus-db/data/lake/panorama-datasus/20260910T162322/IBGE/POPTBR23.zip_amostras/t008_POPTAC23.parquet,22,3
IBGE,DBF,102,102,0,false,t009_POPTAL23,POPTAL23.dbf,/Users/raphael/PycharmProjects/omnisus-db/data/lake/panorama-datasus/20260910T162322/IBGE/POPTBR23.zip_amostras/t009_POPTAL23.parquet,102,3
IBGE,DBF,62,62,0,false,t010_POPTAM23,POPTAM23.dbf,/Users/raphael/PycharmProjects/omnisus-db/data/lake/panorama-datasus/20260910T162322/IBGE/POPTBR23.zip_amostras/t010_POPTAM23.parquet,62,3
IBGE,DBF,16,16,0,false,t011_POPTAP23,POPTAP23.dbf,/Users/raphael/PycharmProjects/omnisus-db/data/lake/panorama-datasus/20260910T162322/IBGE/POPTBR23.zip_amostras/t011_POPTAP23.parquet,16,3
